"Weight","TailLength","Heart","LKidney","RKidney","Spleen","Liver","FatPad"
23.76,89.67,0.17,NA,0.2,0.13,1.54,0.28
30.02,96.49,0.2,NA,0.36,0.1,NA,0.45
33.19,93.08,0.18,0.36,0.36,0.36,2.1,0.87
34.14,98.2,0.14,NA,0.33,0.09,2.11,0.73
38.53,96.59,0.2,0.35,0.37,NA,2.29,1.11
25.87,91.37,NA,NA,0.2,0.1,1.72,0.68
34.12,97.69,0.19,0.37,0.36,0.1,1.82,NA
31.95,95.59,0.2,0.36,0.4,0.09,2.11,0.37
31.73,93.52,0.19,NA,0.33,0.17,2.61,NA
35.77,93.35,0.19,0.47,0.44,0.15,1.93,0.47
23.88,86.24,0.13,NA,0.21,0.11,1.5,0.3
23.6,85.15,0.11,NA,NA,0.12,1.47,NA
27.28,90.12,0.15,NA,NA,0.1,1.39,0.73
NA,89.29,0.17,0.27,0.28,0.18,1.44,0.58
28.13,88.26,0.18,0.25,0.28,0.1,1.69,0.47
22.88,84.52,0.13,NA,0.19,NA,1.53,0.46
34.63,91.85,0.21,NA,0.33,0.08,2.02,NA
22.75,82.79,0.18,0.17,0.15,0.1,1.44,0.66
31.61,84.71,0.14,NA,0.26,0.06,1.63,0.91
27.06,88.08,0.14,NA,0.28,0.08,1.54,0.44
23.91,85.7,0.15,0.19,0.18,0.09,1.66,0.33
NA,81.45,0.12,0.18,0.19,0.12,1.17,0.29
29.31,89.68,0.15,0.23,0.25,0.11,1.67,0.8
26.65,85.4,0.14,0.19,0.2,NA,1.61,0.73
22.56,NA,0.12,0.22,0.21,0.11,1.51,0.22
26.02,87.95,0.11,NA,0.2,0.16,1.25,0.43
29.8,88.13,0.14,0.26,NA,0.13,1.69,0.88
31.04,87.07,0.17,NA,0.34,0.1,1.62,NA
NA,96.83,0.27,0.41,0.44,0.18,2.56,0.53
29.96,91.28,0.14,NA,0.2,0.11,NA,0.38
31.85,91.47,0.16,0.34,0.36,0.13,2.07,0.62
29.81,85.61,0.17,0.22,0.2,0.13,1.79,NA
26.21,86.29,0.11,NA,0.19,0.12,1.37,NA
29.84,88.95,0.12,0.23,NA,0.1,1.84,NA
33.45,98.23,0.27,0.33,0.35,0.12,1.94,0.54
NA,98.23,0.27,NA,0.35,0.12,1.99,NA
33.03,92.19,0.19,NA,0.43,0.12,2.22,0.84
30.39,87.85,0.16,NA,0.23,0.13,1.81,0.88
25.15,95.22,0.14,0.2,0.2,0.12,1.42,0.38
29.41,94.75,0.16,NA,0.34,0.09,1.58,NA
34.69,99.9,0.18,NA,0.34,0.1,1.99,0.7
27.66,88.61,0.12,0.21,0.26,0.12,1.77,0.22
26.91,92.08,0.14,0.24,0.24,NA,1.74,0.34
36.09,94.8,0.18,0.35,0.37,0.09,2.06,0.91
32.59,94.13,0.16,0.35,0.36,0.11,1.96,0.94
43.75,93.11,0.18,0.39,0.38,NA,2.5,NA
NA,88.5,0.18,NA,0.24,0.12,2.42,0.241
36.03,96.76,0.16,0.28,0.29,0.1,1.93,NA
36.23,98.21,0.2,NA,NA,0.11,2.3,0.64
33.66,NA,0.15,0.23,0.23,0.11,1.6,1.49
NA,NA,0.19,0.4,0.42,0.1,2.32,1.33
33.89,86.32,0.16,0.29,0.29,0.06,1.88,1.04
NA,NA,0.18,0.41,0.35,0.1,1.9,NA
28.2,91.24,0.13,NA,0.18,0.1,1.51,0.97
30.37,NA,0.15,NA,0.34,0.07,1.75,0.52
32.38,94.46,0.13,NA,0.3,0.1,1.91,0.6
23.89,70.72,0.11,NA,0.15,NA,1.37,0.58
40.59,86.14,NA,0.44,0.44,0.13,2.25,1.38
31.61,88.49,0.14,0.32,0.32,NA,1.62,1.01
30.46,94.5,0.13,0.21,0.24,0.12,1.87,0.48
