"Weight","TailLength","Heart","LKidney","RKidney","Spleen","Liver","FatPad"
32.7,94.65,0.18,NA,0.32,0.09,1.63,0.64
36.35,96.69,0.2,0.42,0.43,0.13,2.25,NA
31.11,85.09,0.16,0.27,0.28,0.15,NA,1.04
29.73,89.36,0.14,NA,0.28,0.15,2.03,1.04
28.66,85.41,0.14,0.26,0.24,0.11,1.39,1.2
39.75,92.88,0.23,0.33,0.36,0.12,1.98,1.67
41.31,94.81,0.19,0.37,0.36,0.11,1.89,2.03
30.74,92.75,0.25,NA,0.29,0.13,2.45,0.54
49.51,91.96,0.25,NA,0.44,0.11,2.22,2.49
28.95,87.8,0.17,NA,0.21,0.16,1.82,NA
38.06,89.89,0.23,0.28,0.36,0.13,2.28,1
24.02,83.66,0.12,NA,0.16,0.09,1.25,0.76
45.42,84.93,0.22,0.36,0.4,0.15,2.7,1.78
32.71,83.29,0.13,NA,0.25,0.1,1.82,NA
34.82,79.37,0.22,0.31,0.33,0.16,3.34,0.05
38.52,86.63,0.17,0.31,0.31,0.1,1.97,1.39
25.54,83.23,0.15,0.21,0.21,0.15,1.7,0.43
39.87,90.42,0.22,0.27,0.29,0.17,3.39,0.17
26.81,86.5,0.11,0.2,0.19,0.12,1.9,0.68
33.55,94.98,0.18,NA,0.35,0.07,1.98,0.44
NA,92.52,0.15,0.23,0.22,0.12,1.73,0.61
37.65,93.17,NA,0.42,0.4,0.1,2.2,NA
32.07,91.2,0.17,0.31,0.3,0.1,1.62,0.58
34.59,91.24,0.18,0.32,0.33,0.1,1.91,1.12
30.57,92.45,0.15,0.26,0.27,0.1,1.8,0.52
26.83,91.91,0.14,NA,0.21,0.07,1.86,0.39
32.43,98.83,0.16,NA,0.32,0.09,1.85,0.62
28.35,89.36,0.12,0.19,0.2,0.1,1.74,0.97
39.11,100.65,0.16,0.34,0.4,0.1,2.11,NA
34.46,95.26,0.18,NA,0.29,0.09,1.87,NA
53.46,103.82,0.25,NA,0.36,0.22,4.4,0.16
35.64,100.48,0.2,NA,0.39,0.12,2.04,NA
37.59,99.91,0.24,0.41,0.42,0.1,2,0.46
26.86,90.54,0.12,0.21,0.2,0.13,1.44,0.52
26.66,86.01,0.13,0.26,0.28,0.09,1.42,0.39
32.51,NA,0.16,NA,0.24,0.1,2.83,NA
24.04,86.99,0.12,0.18,0.18,0.1,1.31,0.52
33.49,97,0.21,NA,0.41,0.16,2.17,NA
31.56,93.87,0.14,NA,0.36,0.11,NA,0.69
27.55,82.28,0.17,NA,0.28,0.09,1.45,NA
NA,84.48,0.12,0.18,0.18,0.05,1.31,0.45
25.01,89.7,0.15,NA,0.22,0.12,1.43,0.64
25.83,92.14,0.14,NA,0.23,0.13,1.46,0.49
25.75,88.69,0.12,NA,0.21,0.1,1.56,0.74
25.03,95.2,0.15,0.2,0.21,0.1,1.57,0.41
NA,92.16,0.11,NA,0.17,0.07,1.16,0.52
23.18,88.97,0.18,NA,0.21,0.08,1.3,NA
25.86,87.18,0.15,0.21,0.2,0.12,1.55,NA
38.18,NA,0.19,0.32,0.37,0.1,2.27,1.03
18.86,88.11,0.12,0.17,0.18,0.09,0.98,0.06
27.23,93.24,0.16,0.2,0.25,0.2,1.96,0.48
30.5,93.14,0.19,NA,0.28,0.09,2.7,0.09
21.61,87.13,0.1,0.17,0.18,0.09,1.25,0.33
18.79,79.62,0.09,NA,NA,0.07,1.07,0.29
NA,82.43,0.21,0.44,0.48,0.1,1.97,1
30.39,94.71,0.17,NA,0.32,0.25,1.9,0.09
23.55,82.75,0.15,0.21,0.24,0.13,1.54,0.49
24.57,85.61,0.11,0.17,0.18,0.11,1.44,0.5
23.97,83.33,0.12,NA,0.22,0.12,1.9,NA
28.45,NA,0.15,0.29,0.29,0.15,1.76,0.25
22.22,83.51,0.13,NA,0.21,0.1,1.49,0.38
24.3,77.38,0.13,0.18,0.17,0.12,1.48,0.57
NA,82.13,0.13,0.21,0.2,0.1,1.54,NA
35.87,85.91,0.22,0.28,0.28,0.11,2.24,1.55
38.48,101.07,0.24,0.44,0.44,0.18,2.25,0.86
25.82,97.54,0.11,0.2,0.19,0.12,NA,0.69
26,92.82,0.18,0.28,0.29,0.12,1.3,0.25
28.68,95.24,0.15,NA,0.21,0.13,1.66,0.9
33.72,88.81,0.11,0.29,NA,0.32,2,0.09
45.26,96.62,0.33,NA,0.38,0.21,NA,NA
40.28,91.99,0.19,0.39,0.37,0.15,2.21,1.28
29,90.36,0.17,NA,0.29,0.1,1.93,0.4
21.89,84.02,0.1,NA,0.12,0.09,1.51,NA
27.39,NA,0.13,0.21,0.24,0.09,1.75,0.45
NA,94.2,0.14,NA,0.27,0.09,1.89,0.64
23.21,84.25,0.16,0.18,0.19,0.09,1.73,0.09
31.4,93.01,0.16,0.3,0.29,0.11,1.82,0.71
24.35,86.06,0.1,0.16,0.16,0.08,1.42,0.54
NA,87.4,0.12,NA,0.14,0.1,1.43,0.49
23.41,85.1,0.12,0.12,0.14,0.13,1.21,0.53
23.53,NA,0.12,0.22,0.24,0.07,1.37,0.52
25.19,NA,0.13,NA,0.17,0.1,1.36,0.3
35.98,86.11,0.24,0.24,NA,0.13,NA,0.52
34.95,93.75,0.21,0.32,0.29,0.12,2.01,0.95
NA,94.05,0.19,0.33,0.33,0.1,1.49,NA
32.76,88.39,0.18,0.26,NA,0.11,3.16,0.17
24.24,84.45,0.14,NA,0.22,0.08,1.31,0.64
30.73,94.51,0.16,0.25,0.28,0.09,1.65,0.86
30.75,98.69,0.11,NA,NA,0.09,1.64,0.75
35.46,97.15,0.2,0.37,0.39,0.09,2.09,1.06
28.12,92.94,0.12,NA,0.28,0.06,1.52,0.69
27.64,86.55,0.17,0.25,0.2,0.08,1.32,0.75
32.84,94.35,0.17,NA,NA,0.09,1.63,0.86
23.35,NA,0.09,0.19,0.16,0.07,NA,0.7
NA,91.01,0.11,NA,0.2,0.1,1.57,NA
38.56,95.29,0.21,0.44,0.44,0.11,2.54,0.81
24.99,83.68,0.12,NA,0.23,0.08,1.35,0.45
32.98,93.56,0.26,0.28,NA,0.09,2.96,0.34
NA,94.16,0.19,0.29,0.32,0.09,NA,NA
NA,97.56,0.22,NA,0.4,0.1,2.47,NA
31.16,90.26,0.16,0.35,0.36,0.14,1.92,0.64
31.17,86.98,0.16,0.26,NA,0.15,NA,0.97
26.92,84.08,0.16,NA,0.3,0.05,1.64,NA
35.56,96,0.12,NA,0.37,0.13,2.03,0.7
24.11,88.05,0.12,NA,0.19,0.08,1.07,0.55
31.2,87.96,0.14,0.25,0.24,0.12,1.71,NA
NA,86.86,0.19,NA,0.34,0.11,NA,0.69
39.49,93.77,0.2,NA,0.31,0.2,3.1,0.12
23.34,88.5,NA,NA,0.2,0.1,1.37,NA
34.81,95.28,0.14,NA,0.35,0.14,1.99,0.98
32.39,91.02,0.14,NA,0.36,0.11,2.06,0.83
26.77,88.11,0.13,NA,NA,0.15,1.87,0.19
23.78,87.26,0.14,NA,0.24,0.1,1.58,0.23
NA,89.34,NA,NA,0.18,0.1,1.5,NA
25.9,93.31,0.11,NA,0.2,0.11,1.55,0.39
34.52,92.01,0.16,0.37,0.36,0.14,2.19,NA
25.11,86.98,0.16,0.18,0.18,0.06,1.35,NA
28.12,96.98,0.2,NA,0.25,0.07,2.29,0.17
33.82,97.6,0.16,NA,0.35,0.08,1.9,1.26
26.34,85.46,0.17,0.25,0.25,0.09,1.56,0.43
NA,85.33,0.13,0.17,0.2,0.08,1.27,NA
41.44,94.76,NA,NA,0.45,0.11,2.85,0.79
21.95,82.79,0.15,0.2,0.21,0.06,1.38,0.32
29.1,92.46,0.16,0.28,0.28,0.07,1.66,0.62
32.89,92.74,0.15,NA,0.32,0.08,1.82,0.72
24.79,93.11,0.15,0.19,0.17,0.08,1.37,0.49
33.32,93.66,0.19,0.33,0.34,0.17,2.08,NA
NA,86.99,0.14,0.18,0.18,0.14,1.2,0.48
33.42,94.04,0.13,0.32,0.33,0.08,1.82,0.95
36.12,91.26,0.19,0.23,0.28,0.14,3.39,0.27
24.68,86.37,0.11,NA,0.21,0.07,NA,0.61
32.25,92.8,0.19,0.3,0.33,0.09,2.06,0.86
20.75,85.16,0.11,0.2,0.2,0.07,1.27,0.31
22.6,88.83,0.12,0.22,0.21,0.08,1.46,0.15
32.84,92.94,0.18,NA,0.29,0.08,1.95,0.46
33.04,94.62,0.18,0.36,0.36,0.09,2.05,0.67
22.05,84.14,0.13,NA,0.18,0.08,1.26,0.32
30.25,89.57,0.15,NA,0.24,0.1,1.76,0.34
34.88,NA,0.22,NA,0.33,0.09,1.97,0.4
NA,95.08,0.15,NA,0.29,0.08,1.59,0.44
27.11,92.7,0.2,NA,0.28,0.07,1.42,0.29
29.09,NA,0.14,NA,0.3,0.07,1.65,0.55
20.21,80.72,0.11,0.17,0.15,0.07,1.16,0.26
46.58,95.56,0.23,0.24,0.24,0.11,3.14,0.86
31.42,76.26,0.14,0.31,0.34,0.07,1.89,0.26
32.94,NA,0.14,NA,0.35,0.12,1.5,NA
40.46,89.08,0.22,NA,0.44,0.17,2.4,0.97
32.18,82.16,0.15,NA,0.33,0.09,2.11,0.43
27.8,86.86,0.15,0.32,0.32,0.09,1.48,NA
39.81,96.34,0.2,NA,0.32,0.14,4.15,0.24
26.71,84.61,0.15,0.2,0.2,0.12,NA,0.55
35.2,80.99,0.13,0.37,NA,0.11,1.98,0.84
37.59,95.26,0.22,0.46,0.48,0.09,2.17,0.61
23.29,73.81,0.11,0.17,0.19,0.12,1.48,0.09
25.99,89.06,0.24,NA,0.32,0.19,2.34,0.13
28.42,79.9,0.16,NA,0.26,0.13,1.83,0.28
NA,82.91,0.14,NA,0.19,0.13,1.43,0.32
NA,89.17,0.16,0.37,0.41,0.12,1.55,1.35
27.4,84.65,0.14,NA,0.31,0.1,1.48,0.3
NA,90.61,0.16,0.35,0.37,0.07,1.66,NA
33.66,NA,0.15,0.33,0.34,0.07,1.71,NA
32.92,90.28,0.21,0.38,0.34,0.13,2.18,0.86
38.75,89.64,0.16,0.31,0.32,NA,2.1,1.42
26.74,87.98,0.12,0.23,0.22,0.08,NA,NA
31.18,88.05,0.17,NA,0.3,0.12,1.69,0.99
30.85,96.23,0.16,NA,0.31,0.09,1.77,0.67
25.77,91.58,0.12,0.2,0.21,0.09,1.24,0.79
25.72,88.62,0.12,0.15,0.15,0.09,1.3,0.89
34.62,86.8,0.2,0.3,0.31,NA,3.2,0.03
32.61,85.47,0.15,0.26,NA,0.05,1.64,1.13
24.03,92.67,0.17,0.18,0.16,0.11,NA,0.35
31.83,101.29,0.19,NA,0.3,0.14,2.47,0.6
NA,91.95,0.15,0.19,0.21,0.12,1.67,0.61
34.31,98.46,0.22,NA,0.26,0.12,2.55,NA
32.53,90.27,0.18,0.35,0.3,0.07,2,0.69
24.19,85.32,0.13,0.18,0.2,0.12,1.69,0.59
31.85,104,0.17,NA,0.3,0.14,2.01,0.52
34.72,98.48,0.22,0.37,NA,0.1,2.33,0.52
25.13,88.61,0.12,0.22,0.25,0.09,1.64,0.16
24.55,91.95,0.13,0.2,0.21,0.08,1.18,0.33
39.69,101.32,0.19,0.33,0.33,0.1,1.72,NA
36.95,96.09,0.18,0.4,0.45,0.17,2.27,0.76
29.68,99.43,0.17,NA,0.27,0.08,1.75,0.36
29.3,92.23,0.13,0.2,0.21,0.06,1.67,1.06
26.46,88.23,0.12,NA,0.19,0.08,1.37,0.82
25.08,NA,0.18,NA,0.18,0.1,1.75,0.74
28.95,92.56,0.13,NA,0.31,0.07,1.49,0.44
NA,86.62,NA,0.25,0.26,0.08,NA,0.16
26.64,90.51,0.14,NA,0.2,0.09,1.35,0.77
37.33,84.86,0.17,NA,0.36,0.1,1.9,1.22
36.91,62.67,0.23,NA,0.53,0.14,2.38,0.65
39.45,90.55,0.16,NA,0.39,0.1,2.3,1.38
NA,88.18,0.19,0.31,0.33,0.13,3.8,NA
NA,84.41,0.13,NA,NA,0.11,1.39,0.82
24.99,90.52,0.14,0.23,0.22,NA,1.36,0.54
NA,NA,0.12,0.23,0.24,0.14,1.57,0.81
33.62,96.74,0.17,0.45,0.45,0.1,1.63,0.58
26.78,81.63,0.15,NA,0.26,0.12,1.51,NA
28.98,84.33,0.15,0.26,0.25,0.17,1.64,1.14
34.11,90.68,0.18,NA,0.36,0.11,2.12,1.08
36.08,92.06,0.17,NA,0.32,0.13,1.78,1.1
29.63,93.68,0.2,NA,0.29,0.1,2.7,0.26
24.93,85.6,0.12,NA,0.21,0.13,NA,0.49
40.49,95.25,0.22,NA,0.42,0.15,NA,NA
37.87,89.82,0.18,0.35,0.38,0.1,2.28,0.52
28.98,91.07,0.14,NA,NA,0.15,2.02,0.52
26.46,86.98,0.14,0.21,0.19,0.17,1.67,0.31
36.23,88.66,0.18,NA,0.3,0.14,2.49,NA
NA,91.5,0.18,0.4,0.41,NA,2.11,2.3
40.19,101.77,0.24,0.45,0.44,NA,1.98,1.31
30.35,84.42,0.2,0.26,0.26,0.11,2.44,0.15
36.12,85.62,0.16,0.21,0.22,0.08,1.98,1.81
51.29,102.77,0.23,NA,0.48,0.1,3.13,NA
33.32,84.2,0.12,0.2,0.19,0.09,1.59,2.08
32.16,87.23,0.15,0.23,0.21,0.09,1.52,1.54
33.82,96.66,0.21,0.31,NA,0.11,2.87,0.41
26.29,84.91,0.13,0.24,0.24,0.09,1.59,0.78
44.33,93.74,0.21,NA,0.52,0.18,2.72,1.76
40.83,91.89,0.16,NA,0.26,0.11,NA,3.45
34.95,83.04,0.1,0.17,0.17,0.11,2.05,1.25
34.89,87.62,0.12,0.16,0.16,0.08,1.83,1.87
NA,90.21,0.19,0.25,0.21,0.11,2.91,0.26
25.16,87.26,0.12,0.19,0.19,0.11,1.48,0.45
NA,90.32,0.19,0.36,0.38,0.19,2.52,0.55
32.91,92.7,0.18,0.33,0.33,0.24,2.33,NA
NA,NA,0.23,NA,0.28,0.15,4.11,NA
44.27,99.7,0.24,0.46,0.43,0.15,2.7,NA
37.11,94.37,0.21,0.36,0.37,0.1,2.04,NA
27.38,89.8,0.12,NA,0.22,0.12,1.81,0.37
46.4,95.8,0.23,NA,0.44,0.13,2.49,2.25
41.21,NA,0.18,0.35,0.31,0.11,2.24,1.78
34.78,96.43,0.18,NA,0.33,0.14,NA,0.88
23.43,86.31,0.15,0.2,0.22,0.12,1.62,NA
28,84.17,0.15,0.27,0.3,0.09,1.72,NA
24.62,84,0.13,0.18,0.17,0.07,1.24,NA
28.32,86.65,0.16,0.26,0.26,0.11,2,0.7
32.98,89.96,0.17,0.29,0.29,0.11,2.03,0.66
40.69,89.98,0.2,0.35,0.38,0.1,2.34,1.31
27.13,87.88,0.14,NA,0.17,0.12,1.61,1.12
29.15,85.25,0.17,0.2,0.23,0.16,2.05,NA
22.35,87.88,0.11,NA,0.17,0.09,1.42,0.31
27.96,85.18,0.15,NA,NA,0.07,1.49,0.85
NA,85.66,0.12,NA,0.22,0.1,1.98,0.12
26.86,82.08,0.11,NA,0.19,0.12,1.67,0.87
NA,92.95,NA,NA,0.46,0.12,NA,1.6
28.05,NA,0.14,NA,0.34,0.11,1.89,0.3
28.32,80.11,0.14,0.2,0.21,0.15,2.17,NA
37.95,98.35,0.18,NA,0.4,0.15,2.45,0.8
NA,85.57,0.16,NA,0.25,0.1,1.98,0.55
21.9,NA,0.11,NA,0.16,0.1,1.39,0.36
NA,86.05,0.15,NA,NA,0.15,1.68,0.25
33.31,NA,0.16,NA,0.28,0.1,2.27,0.39
35.58,83.78,0.17,0.19,0.18,0.12,1.66,0.33
27.21,87.49,0.18,NA,0.25,0.08,2.15,0.2
32.89,93.5,0.18,NA,0.37,0.11,2.1,0.58
26.56,82.56,0.15,NA,0.19,0.13,1.89,NA
40.67,84.48,0.2,0.38,0.36,0.12,NA,NA
37.79,95.24,0.19,0.29,0.31,0.14,2.46,2.09
32.05,79.9,0.12,0.19,0.2,0.07,1.7,1.85
34.66,84.89,0.15,NA,NA,0.13,1.74,1.26
32.15,88.54,0.13,0.22,0.22,0.1,1.67,1.14
44.52,87.06,0.25,0.29,NA,0.1,4.2,NA
33.11,86.58,0.19,0.44,0.43,0.25,2.63,0.22
34.42,93.3,0.15,0.2,0.22,0.15,1.85,1.42
30.87,89.6,0.14,NA,0.22,0.14,1.8,0.73
25.81,85.57,0.14,NA,0.16,0.12,1.37,NA
47.73,92.36,0.15,NA,0.33,0.12,1.89,1.79
31.75,85.54,0.2,0.38,NA,0.1,2.12,0.33
29.24,90.42,0.18,NA,0.29,0.11,1.67,0.49
20.7,80.21,0.12,NA,0.21,0.09,1.26,0.03
29.02,91.65,0.12,NA,0.3,0.08,1.53,0.51
32.62,87.33,0.22,0.33,0.33,0.09,NA,0.21
23.89,80.09,0.12,0.19,0.2,0.09,1.42,0.19
29.28,85.15,0.12,NA,0.22,0.15,2,0.5
31.97,83.68,0.22,0.26,0.29,0.14,2.95,NA
23.5,NA,0.1,0.16,0.18,0.08,1.55,0.25
25.14,79.64,0.12,0.19,0.2,0.1,1.67,0.37
24.96,79.9,0.14,0.16,0.2,0.13,1.44,0.51
40.92,85.88,0.3,NA,0.45,0.14,NA,1.01
31.58,82.68,0.18,NA,0.36,0.11,1.8,NA
NA,96.24,0.23,0.49,0.52,0.18,3.5,1.11
42.08,93.23,0.2,NA,0.36,0.09,2.76,1.81
35.88,97.42,0.22,0.44,0.46,NA,2.42,0.7
34.66,85.94,0.19,0.32,0.33,0.18,3.24,0.21
25.29,91.39,0.13,0.21,0.23,0.11,1.4,NA
33.19,96.53,0.23,0.43,0.44,0.1,2.08,0.6
35.27,92.46,0.15,0.28,0.28,0.12,2.08,NA
40.19,94.14,0.19,0.36,0.35,0.15,1.9,NA
28.37,87.6,0.13,0.22,0.2,0.14,1.81,0.53
31.65,81.84,0.19,0.33,0.33,0.1,2.01,0.75
32.7,85.7,0.18,NA,NA,0.1,1.93,0.8
34.5,82.97,0.22,NA,0.27,0.15,2.79,0.45
54.57,91.74,0.26,NA,0.56,0.15,2.97,2.05
33.3,80.56,0.18,NA,0.39,0.11,2.13,NA
29.57,83.05,0.15,0.22,0.22,0.1,1.81,1.04
31.98,NA,0.22,NA,0.26,0.11,2.76,0.19
31.83,98.21,0.18,0.34,0.33,0.1,1.67,NA
30.45,91.2,0.17,0.3,0.34,0.1,NA,0.18
36.5,95.78,0.2,0.38,0.41,0.09,1.98,NA
33.81,96.35,0.18,0.39,0.36,0.15,2.12,0.6
26.63,87.18,0.16,NA,0.22,0.13,1.64,0.6
48.53,NA,0.23,NA,0.49,0.12,2.66,2.57
34.23,97.23,0.19,0.33,0.34,0.09,2.02,NA
33.38,NA,0.16,NA,0.29,0.1,1.7,1.02
30.3,92.79,0.17,NA,0.31,0.09,1.76,0.43
32.08,97.3,0.17,NA,0.41,0.09,2.17,0.5
21.1,81.7,0.12,NA,0.23,0.06,1.27,NA
25.36,85.23,0.13,NA,0.2,NA,1.6,NA
35.72,88.19,0.23,0.27,0.29,0.1,3.72,NA
24.48,89.89,0.11,NA,0.17,0.08,1.37,0.18
21.87,85.85,0.12,NA,0.19,NA,1.32,0.12
24.85,89.11,0.14,NA,0.22,0.08,1.35,0.53
34,96.64,0.17,NA,0.4,0.09,1.9,NA
22.52,86.89,0.13,NA,0.19,0.08,1.24,NA
NA,83.73,0.14,NA,0.21,0.1,1.41,NA
23.99,88.04,0.14,NA,0.21,0.06,1.42,0.36
22.77,84.08,0.12,0.21,0.23,0.09,1.47,NA
32.46,86.43,0.17,0.3,0.31,0.08,NA,0.95
33.2,90.91,0.18,NA,0.35,0.08,1.66,0.59
24.12,80.89,0.14,NA,0.2,0.08,1.5,0.51
27.38,80.64,0.14,NA,0.18,0.09,1.55,NA
32.19,90.92,0.13,NA,NA,0.08,1.72,0.43
25.69,86.43,0.13,NA,0.21,0.08,1.49,0.49
27.72,88.69,0.12,NA,0.24,0.09,2.01,NA
NA,88.88,0.13,NA,0.25,0.08,1.78,0.41
37.85,97.33,0.21,0.48,0.48,0.08,2.48,0.9
38.55,92.71,0.27,NA,0.32,0.12,3.71,0.11
26.22,84.51,0.16,0.22,0.23,0.15,2.04,NA
25.32,82.51,0.16,0.22,0.23,0.12,1.64,0.39
NA,89.61,0.26,0.36,0.4,0.1,2.06,0.7
NA,90.63,0.22,0.4,0.36,0.09,2.41,0.64
29.4,84.12,0.17,0.19,0.22,0.12,2.2,0.8
31.06,88.07,0.21,0.3,0.28,0.09,2.65,NA
25.48,87,0.16,0.21,0.19,0.1,NA,NA
37.31,94.4,0.22,0.42,0.42,0.1,2.27,0.97
25.31,90.06,0.18,NA,0.2,0.08,NA,NA
24.31,83.73,0.12,NA,NA,0.09,1.69,0.32
39.5,88.52,0.25,0.35,0.39,0.14,4.19,0.04
24.8,86.39,NA,0.23,0.23,0.09,1.66,NA
NA,85.76,0.15,NA,0.21,0.1,1.53,0.38
25.46,90.62,0.14,0.17,0.18,0.11,1.64,0.51
25.25,82.83,0.13,NA,NA,0.1,1.95,0.26
23.38,85.81,0.14,0.19,0.21,0.1,1.48,NA
38.08,91.24,0.18,NA,0.47,0.1,2.28,1.44
40.85,88.35,0.23,NA,0.48,0.09,2.43,1.59
35.3,95.66,0.19,NA,0.44,0.09,2.2,0.82
25.37,84.64,0.14,NA,0.23,0.14,1.71,NA
35.77,92.02,0.25,NA,0.3,0.12,3.51,0.18
36.91,97.09,0.21,NA,0.52,0.16,2.39,0.56
29.55,88.73,0.12,NA,0.29,0.13,2,NA
28.61,88.16,0.15,0.17,0.2,0.12,1.39,0.94
36.22,93.34,0.25,NA,0.34,0.13,2.24,0.78
28.03,84.18,0.13,0.17,0.2,0.09,1.67,0.61
41.35,85.07,0.23,NA,0.28,0.17,NA,NA
28.96,83.4,NA,NA,0.26,0.14,NA,0.53
29.41,78.02,0.13,0.24,0.26,0.12,1.85,0.89
NA,90.83,0.23,0.46,0.52,0.19,3.16,0.39
37.4,86.79,0.22,NA,NA,0.11,3.25,NA
33.33,88.64,0.2,0.36,0.37,0.09,NA,0.68
23.41,82.05,0.16,NA,0.19,0.13,1.59,0.49
38.64,81.73,0.18,NA,0.44,0.1,2.26,NA
36.23,92.8,0.18,0.36,0.38,0.1,2.27,NA
30.99,85.41,0.14,NA,0.3,0.09,2.02,0.56
29.64,84.28,0.12,NA,0.28,0.12,1.93,0.78
26.41,88.14,0.15,NA,0.21,0.1,1.88,0.71
24.83,80.11,0.12,0.21,0.23,0.1,1.47,0.52
25.36,84.07,0.12,0.18,0.22,0.07,1.52,0.6
35.51,85.06,0.13,NA,NA,0.1,2.04,1.06
47.12,99.15,0.25,NA,0.42,0.16,2.89,1.54
27.5,86.3,0.11,0.17,0.19,0.13,1.84,NA
40.93,90.59,0.21,0.29,NA,0.16,3.9,0.26
28.86,87.74,0.14,0.2,0.2,0.13,1.71,0.83
28.6,92.1,0.14,0.21,0.21,0.07,1.87,0.94
28.68,85.34,0.14,NA,0.19,0.11,1.95,1.41
36.04,104.39,0.17,0.29,0.32,0.12,1.9,1.28
39.65,80.29,0.14,0.35,0.31,0.11,2.3,NA
43.12,79.03,0.22,0.41,0.41,0.14,2.63,NA
29.13,85.56,0.16,0.22,0.25,NA,NA,0.78
30.46,86.62,0.16,0.23,0.22,0.12,NA,0.49
35.32,87.03,0.16,NA,0.23,NA,2.06,0.53
47.78,NA,NA,NA,0.34,0.29,3.83,1.96
NA,80.18,0.13,NA,0.2,0.11,1.75,0.49
25.09,81.5,0.16,NA,0.22,0.14,1.83,0.1
26.79,88.28,NA,0.29,NA,0.06,1.7,0.52
22.84,NA,0.16,0.16,0.19,0.14,1.5,0.26
27.44,89.09,0.15,NA,0.3,0.11,1.63,0.46
36.95,90.05,0.18,0.36,0.4,0.12,2.28,1.2
NA,85.67,0.19,0.28,NA,0.14,2.4,0.48
41.51,92.26,0.17,NA,0.26,0.31,3.26,0.47
32.26,83.77,0.15,NA,0.27,0.13,2.01,NA
37.24,91.63,0.24,0.33,0.32,0.13,2.31,1.08
30.33,92.53,0.15,0.34,0.36,NA,1.37,0.47
32.42,NA,0.13,NA,0.33,0.13,1.75,1.45
34.04,87.51,0.14,NA,0.24,NA,1.95,1.14
39.69,88.59,0.26,0.34,0.35,0.16,3.83,0.43
NA,89.98,0.14,NA,0.35,0.09,2.42,0.78
48.81,96.77,0.35,0.48,0.47,0.16,3.29,1.25
36.8,88.25,0.22,NA,0.38,0.09,2.16,1.71
36.04,93.02,0.26,0.3,0.31,0.13,3.24,0.44
45.61,92.42,0.14,0.39,0.42,0.12,2.61,1.72
40.17,92.39,0.21,0.31,0.33,0.1,2.37,1.36
28.39,87.21,0.17,0.21,0.22,0.09,1.74,1.13
38.11,86.12,0.22,0.45,NA,0.13,NA,0.61
35.94,89.6,0.2,NA,0.39,0.07,2.17,1.36
NA,84.01,0.11,0.19,0.18,0.09,1.49,1.02
29.08,86.92,0.16,0.21,0.2,0.11,1.77,0.66
36.98,89.7,0.15,NA,0.31,0.08,1.86,1.17
43.24,92.84,0.21,NA,0.37,NA,2.45,NA
27.57,88.08,0.13,NA,0.16,0.1,1.5,1.18
42.54,95.84,0.19,0.29,0.3,0.14,2.85,0.34
34.28,88.31,0.16,NA,0.28,0.09,1.62,1.58
42.6,97.24,0.17,NA,0.39,0.11,2.4,NA
33.31,92.83,0.11,0.28,0.3,0.06,1.68,NA
39.64,94.13,0.19,NA,0.33,0.1,1.57,1.83
50.37,103.35,0.24,NA,0.45,0.15,3.19,1.9
21.21,89.44,0.12,0.17,0.17,0.1,1.37,0.15
32.58,88.94,0.2,0.34,0.35,0.08,1.88,NA
30.94,88.37,0.19,NA,0.34,0.09,1.71,0.46
31.87,92.75,0.16,NA,0.29,0.07,1.69,0.71
34.31,98.42,0.16,0.32,0.33,0.08,1.85,0.83
31.07,94.92,0.21,0.27,0.27,0.08,3.14,0.2
27.44,86.52,0.16,0.22,0.23,0.14,2.31,NA
37.27,99.06,0.2,0.43,NA,0.1,NA,NA
28.09,88.95,0.14,NA,0.26,0.07,1.54,0.39
NA,82.94,0.13,NA,0.15,0.1,1.32,0.13
35.08,95.06,0.19,NA,0.38,0.11,2.07,0.66
33.69,96.01,0.19,0.3,NA,0.09,1.85,0.56
26.09,86.88,0.14,0.22,0.25,0.13,1.88,0.37
25.94,86.87,0.14,0.2,0.22,0.12,1.9,0.28
NA,85.65,NA,0.17,0.19,0.09,1.43,0.47
31.74,89.64,0.17,0.32,0.34,0.1,2.11,0.82
30.2,87.99,0.19,NA,0.31,0.1,NA,0.41
38.19,91.54,NA,NA,0.38,0.15,2.4,1.48
32.06,88.59,0.16,NA,0.34,0.1,1.97,0.79
39.61,92.84,0.21,NA,0.42,0.13,2.88,1.23
26.23,87.94,0.14,NA,0.2,0.12,2.02,NA
32.28,89.02,0.14,0.28,0.29,0.16,2.71,0.4
25.78,88.77,0.14,NA,0.2,0.1,1.86,0.24
31.38,82.87,0.17,NA,0.29,0.1,2.02,0.91
36.16,88.87,0.17,NA,0.34,0.11,2.14,0.92
35.9,85.7,0.25,0.37,0.38,0.11,2.07,0.93
31.65,96.19,0.22,0.28,0.27,0.1,2.38,0.43
29.51,87.02,0.13,NA,0.28,0.08,1.8,0.78
28.66,83.53,0.14,NA,0.23,0.12,1.78,0.64
21.96,78.56,0.12,0.19,0.19,0.09,1.19,0.31
NA,85.41,0.12,NA,0.27,0.08,1.75,0.8
34.78,103.45,0.2,NA,0.39,0.1,2.28,0.54
32.79,93.54,0.17,NA,0.36,0.08,1.85,0.8
32.51,96.28,0.21,0.35,0.31,0.09,1.75,0.98
23.52,85.67,0.12,NA,0.22,0.08,1.4,NA
23.19,85.28,0.12,0.23,0.24,0.07,1.43,NA
38.07,96.92,0.2,0.26,0.26,0.15,4.14,0.13
